角色名,vote_01,vote_02,vote_03,vote_04,vote_05,vote_06,vote_07,vote_08,vote_09,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
蓬莱山辉夜,,,298.0,228.0,1342.0,1775.0,2542.0,2578.0,3009.0,2080.0,1939.0,2830.0,2483.0,2058.0,1602.0,2048.0,2421.0,2692.0,2966.0,3519.0,5022.0
因幡帝,,,234.0,155.0,,,,,,,,,,,,,,,,,
米斯蒂娅·萝蕾拉,,,120.0,296.0,815.0,1329.0,1807.0,1832.0,2157.0,1283.0,1240.0,2057.0,1847.0,1302.0,1040.0,1147.0,1109.0,1401.0,1501.0,1898.0,2906.0
莉格露·奈特巴格,,,64.0,100.0,410.0,725.0,962.0,856.0,956.0,603.0,617.0,886.0,860.0,625.0,529.0,658.0,897.0,1164.0,1108.0,1323.0,1906.0
森近霖之助,,,43.0,139.0,659.0,1225.0,1647.0,1558.0,1580.0,891.0,868.0,1248.0,1084.0,873.0,612.0,977.0,1003.0,1278.0,1173.0,1202.0,1436.0
莲子（宇佐见莲子）,,,38.0,,,,,,,,,,,,,,,,,,
无名的读书妖怪（朱鹭子）,,,24.0,18.0,48.0,146.0,354.0,480.0,508.0,288.0,253.0,358.0,361.0,250.0,223.0,321.0,360.0,444.0,448.0,408.0,503.0
大妖精,,,13.0,43.0,238.0,592.0,1204.0,1613.0,2149.0,1078.0,1022.0,1714.0,1365.0,1170.0,1067.0,1366.0,1273.0,1464.0,1517.0,1508.0,2633.0
舞1,,,9.0,,,,,,,,,,,,,,,,,,
雪1,,,8.0,,,,,,,,,,,,,,,,,,
梅莉（玛艾露贝莉·赫恩）,,,8.0,,,,,,,,,,,,,,,,,,
爱莲,,,7.0,6.0,6.0,39.0,44.0,71.0,97.0,64.0,92.0,153.0,140.0,131.0,134.0,141.0,157.0,151.0,179.0,188.0,350.0
艾丽,,,5.0,3.0,41.0,90.0,133.0,133.0,148.0,101.0,112.0,199.0,139.0,105.0,77.0,124.0,132.0,150.0,158.0,204.0,326.0
毛玉2,,,5.0,,,,,,,,,,,,,,,,,,
