角色名,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21
东风谷早苗,,,,,0.499009818,0.872609308,0.960651883,0.828001896,0.68813456,0.690777397,0.65060743,0.662759558,0.670540337,0.652029357,0.665519459,0.668249032,0.629437895,0.594503267,0.630140053,0.573077819,0.580499212
爱丽丝·玛格特洛依德,0.169117647,0.385304188,0.338564446,0.726293595,0.669962624,0.727201361,0.82070166,0.797350083,0.962549729,0.827972637,0.701814277,0.734609315,0.743571054,0.759160763,0.727756401,0.687305632,0.648870039,0.649698625,0.648633596,0.610189153,0.56275171
铃仙·优昙华院·因幡,,,0.622639568,0.622919991,0.293024099,0.309356505,0.289728569,0.411424508,0.389610999,0.468351221,0.570882884,0.572685655,0.651309205,0.615351168,0.611260311,0.631018639,0.611208133,0.612566553,0.594747331,0.55595068,0.545183076
八云紫,,0.1340532,0.299511191,0.673922954,0.710225371,0.793644319,0.64992849,0.608158331,0.590614571,0.581948372,0.553685718,0.555870819,0.581609569,0.671578467,0.684138071,0.613936317,0.576806864,0.561439898,0.561508641,0.539509944,0.528973842
红美铃,0.09375,0.336844878,0.231129406,0.328527468,0.335392726,0.378200737,0.474421943,0.442929604,0.477583768,0.481828755,0.463463367,0.470162336,0.479233625,0.526183334,0.524401666,0.478292972,0.454437722,0.476252617,0.467329165,0.51024285,0.51508613
帕秋莉·诺蕾姬,0.443014706,0.436660521,0.20375611,0.471677684,0.563762133,0.549984222,0.555917487,0.538269732,0.548615399,0.543411994,0.520402603,0.525453494,0.534241764,0.539456174,0.551522777,0.567576895,0.53120647,0.517936912,0.532321385,0.524322969,0.50131327
露米娅,0.055147059,0.054253358,0.101569334,0.10873034,0.1065352,0.153689266,0.215943851,0.242716283,0.291285963,0.349555986,0.387393019,0.456769214,0.492712791,0.501188055,0.485330791,0.502666479,0.50367298,0.546763993,0.518504464,0.470365642,0.48772681
秦心,,,,,,,,,,0.6019745,0.608867306,0.607718388,0.598487795,0.599030231,0.595761727,0.582500351,0.560968003,0.489895549,0.492071856,0.496813673,0.474430304
比那名居天子,,,,,,0.435708184,0.492525843,0.479540175,0.529946929,0.562528595,0.628399098,0.64341984,0.615626617,0.692093832,0.646962909,0.597608395,0.593019952,0.532222705,0.546351252,0.483554198,0.46176078
多多良小伞,,,,,,,0.456709946,0.278013747,0.302642583,0.406360073,0.505321024,0.497376685,0.54960552,0.553137476,0.565797046,0.540410505,0.516902638,0.440274397,0.479349696,0.444869963,0.449198576
洩矢诹访子,,,,,0.41074417,0.476460583,0.534240649,0.46082958,0.431875913,0.430520415,0.339867081,0.353577176,0.385774552,0.409020436,0.436544386,0.527573684,0.490762109,0.503667603,0.505036993,0.457316394,0.437432807
四季映姬·夜摩仙那度,,,,0.121552314,0.357511436,0.342574136,0.374873395,0.26587343,0.326278108,0.371803564,0.363202658,0.44362608,0.453857746,0.488802414,0.511052685,0.553403824,0.478256651,0.463752548,0.444399246,0.421836216,0.426243182
蓬莱山辉夜,,,0.116902495,0.134545247,0.251980364,0.249601712,0.276276613,0.290234653,0.314401726,0.394530712,0.273017705,0.282730497,0.324111806,0.351659983,0.376789926,0.322786461,0.355281122,0.301732427,0.359387371,0.373934936,0.41584246
纯狐,,,,,,,,,,,,0.38570067,0.44187039,0.442430924,0.448392593,0.466202524,0.421270019,0.407848395,0.413972535,0.411322351,0.406386917
风见幽香,0.045955882,0.013958388,0.010856702,0.178994757,0.31418052,0.695915524,0.788952396,0.926897369,0.798582181,0.643884396,0.536777041,0.540224677,0.506482765,0.513604441,0.460353641,0.444148392,0.466007609,0.429024335,0.433984002,0.432697081,0.397025514
八意永琳,,,0.152354001,0.279006155,0.233264532,0.209872933,0.176763692,0.173614601,0.154830667,0.174303936,0.151088246,0.160392482,0.184893817,0.168686288,0.20176369,0.210497382,0.260843954,0.261583855,0.233020284,0.31518039,0.387688588
伊吹萃香,,,,0.303054479,0.272258172,0.415674473,0.360169384,0.353823181,0.280324051,0.275305518,0.246487376,0.273887162,0.27181914,0.308279494,0.306789587,0.413065548,0.390891703,0.379389447,0.395001229,0.401910276,0.37848346
犬走椛,,,,,0.162152739,0.263578361,0.238435033,0.314804456,0.461506296,0.495846494,0.491249159,0.511407278,0.56536961,0.567020814,0.537908622,0.515001705,0.432181542,0.451617866,0.423574217,0.392500735,0.369572053
八云蓝,,0.498814854,0.380190378,0.256952359,0.469234631,0.39686449,0.303577518,0.381763451,0.376706815,0.418360316,0.305691787,0.343043295,0.364613508,0.360720827,0.340991413,0.357324291,0.33867648,0.352249188,0.45549428,0.38314185,0.360871522
灵乌路空,,,,,,0.278332346,0.600156761,0.56072055,0.567959951,0.526660162,0.44996848,0.408037123,0.375150597,0.388698322,0.404825041,0.348480167,0.322723272,0.334889203,0.368019875,0.365021833,0.352728307
赫卡提亚·拉碧斯拉祖利,,,,,,,,,,,,0.265275065,0.288451879,0.300211259,0.385901761,0.314568327,0.363829463,0.398172517,0.327491878,0.307328551,0.34460392
依神紫苑,,,,,,,,,,,,,,0.633117097,0.580387267,0.422989105,0.400562728,0.388763125,0.37668787,0.35625057,0.336942708
鬼人正邪,,,,,,,,,,0.155666904,0.412000085,0.431723513,0.430098308,0.431174045,0.41509913,0.403194157,0.410708469,0.370252034,0.351289962,0.331182943,0.329289027
丰聪耳神子,,,,,,,,,0.229524085,0.317066583,0.317049716,0.322575504,0.297036396,0.3426211,0.332274517,0.433313938,0.443203947,0.417875922,0.385579732,0.347709796,0.321691831
水桥帕露西,,,,,,0.164271806,0.250807983,0.302465039,0.2586816,0.442735636,0.399696552,0.396818899,0.418601928,0.39855413,0.395301339,0.384595012,0.307248245,0.317999,0.335256218,0.323143673,0.314250909
宇佐见莲子,,,0.014715719,0.032767267,0.080804418,0.086191902,0.10510136,0.165650628,0.16968103,0.306394801,0.477230717,0.41983032,0.466098142,0.477031662,0.472833753,0.455167432,0.330658295,0.294336782,0.305042453,0.339338723,0.307049106
