角色名,score_01,score_02,score_03,score_04,score_05,score_06,score_07,score_08,score_09,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21
射命丸文,,,,0.5721449737861865,0.8913031351110119,0.6345137034272037,0.5132712734823923,0.7099028205735957,0.7426158523717593,0.7163433712027253,0.6753961385175925,0.710129212693155,0.7187843446799028,0.7139575638058178,0.7499689689802642,0.7085291226098995,0.6689640117258155,0.6307177511964351,0.6122989980616451,0.591402996869396,0.6176755780741343
西行寺幽幽子,,0.17118777982617855,0.6999228196552612,0.7885229085935719,0.7516874930268883,0.6650914716272484,0.6767713269237621,0.6579047167575255,0.6372955144087602,0.62246917255103,0.5898430404632924,0.5900910894801806,0.63303358650044,0.5830167381842298,0.628536125748976,0.6492405850604923,0.6895985363521071,0.66881960889895,0.6683556744655874,0.6303835749673262,0.5985969193228611
东风谷早苗,,,,,0.49900981814124734,0.8726093080173323,0.9606518829175934,0.8280018961839298,0.6881345599212149,0.6907773974301732,0.6506074302016219,0.662759558145712,0.6705403374134655,0.6520293566054558,0.6655194592703761,0.6682490319215104,0.6294378954517419,0.5945032665014643,0.6301400529634988,0.5730778193165355,0.5804992120380256
爱丽丝·玛格特洛依德,0.16911764705882354,0.38530418751646034,0.338564445587857,0.726293594711648,0.669962624121388,0.7272013607222295,0.8207016597362541,0.7973500829580469,0.9625497291762738,0.8279726370216026,0.7018142770138154,0.7346093151883506,0.7435710535956401,0.7591607629906493,0.7277564008530709,0.6873056319094721,0.6488700388781472,0.6496986247177182,0.6486335963307761,0.6101891533185415,0.5627517100751812
铃仙·优昙华院·因幡,,,0.6226395677900695,0.6229199908821518,0.29302409907397076,0.30935650460629105,0.2897285687383256,0.4114245081772932,0.3896109986478354,0.46835122069531954,0.5708828840379951,0.572685655359905,0.6513092050351426,0.6153511680713976,0.6112603107615576,0.6310186392728878,0.6112081332252229,0.6125665525634756,0.5947473313494772,0.5559506803237997,0.545183076421956
八云紫,,0.13405319989465367,0.29951119114998714,0.6739229541828129,0.7102253709695414,0.7936443189077279,0.64992849035765,0.6081583313581418,0.5906145705509485,0.5819483719468836,0.5536857176437905,0.5558708185553802,0.5816095687346806,0.67157846655218,0.6841380711118132,0.613936317489617,0.5768068636215583,0.5614398980214177,0.5615086406945317,0.5395099439733342,0.5289738419218364
红美铃,0.09375,0.33684487753489595,0.23112940571134552,0.3285274675176658,0.33539272564989403,0.3782007373144207,0.4744219425174448,0.44292960417160465,0.4775837677715858,0.4818287553813674,0.4634633672041115,0.4701623361404934,0.4792336250231325,0.5261833338457417,0.5244016655194593,0.4782929716498465,0.4544377221979667,0.47625261677261965,0.4673291654153813,0.5102428497614054,0.5150861297981424
帕秋莉·诺蕾姬,0.4430147058823529,0.43666052146431394,0.20375611011062517,0.4716776840665603,0.5637621332143256,0.5499842223949635,0.5559174865251404,0.53826973216402,0.5486153990448872,0.5434119936277996,0.5204026028143732,0.5254534943674515,0.5342417638861088,0.5394561737152093,0.551522776768486,0.5675768945245881,0.531206469988981,0.5179369117412733,0.5323213846951869,0.5243229689067201,0.501313269957467
露米娅,0.05514705882352941,0.05425335791414274,0.1015693336763571,0.10873033963984499,0.10653520026776749,0.15368926584110026,0.21594385093420604,0.2427162834794975,0.29128596328052336,0.3495559855137173,0.3873930185594769,0.45676921394309644,0.4927127906669336,0.5011880553225317,0.48533079067038287,0.5026664794045064,0.503672980034235,0.5467639932087539,0.5185044636763221,0.47036564238169054,0.4877268097236579
秦心,,,,,,,,,,0.601974500173637,0.6088673056169931,0.6077183882005531,0.5984877954822702,0.5990302306276709,0.5957617269044583,0.5825003511165506,0.5609680034927961,0.48989554887664216,0.4920718556335144,0.4968136733432621,0.47443030443386297
比那名居天子,,,,,,0.4357081835743587,0.49252584271950406,0.4795401753970135,0.5299469294920395,0.5625285949738993,0.6283990982038872,0.6434198396950143,0.6156266169144834,0.6920938322140872,0.6469629094684104,0.5976083946951305,0.593019951904752,0.5322227045203545,0.5463512517404242,0.4835541979473775,0.46176077963989104
多多良小伞,,,,,,,0.4567099456933891,0.2780137473334913,0.30264258302525343,0.40636007342362457,0.5053210244574798,0.4973766854678687,0.5496055200752326,0.5531374762279133,0.5657970458469211,0.5404105054071949,0.5169026383084887,0.44027439711207206,0.47934969559638535,0.4448699634256304,0.4491985758316906
洩矢诹访子,,,,,0.4107441704786344,0.47646058292478316,0.5342406490327112,0.4608295804693055,0.43187591349272725,0.43052041474425756,0.33986708123644366,0.3535771760698717,0.3857745516071894,0.40902043630837615,0.43654438564222925,0.5275736843161253,0.49076210870634873,0.5036676025692449,0.505036992546889,0.4573163936253204,0.43743280670737333
四季映姬·夜摩仙那度,,,,0.12155231365397766,0.3575114359031574,0.3425741355026899,0.3748733948502878,0.2658734297226831,0.32627810822006675,0.37180356424291533,0.3632026583752711,0.4436260800274987,0.4538577455160719,0.4888024138824594,0.5110526850295076,0.5534038241608314,0.47825665121242994,0.4637525480909236,0.4443992464986759,0.4218362157178607,0.42624318182246096
蓬莱山辉夜,,,0.11690249549781323,0.1345452473216321,0.2519803637175053,0.24960171167773665,0.27627661252971086,0.2902346527613178,0.3144017257685063,0.3945307116910034,0.2730177046938274,0.2827304970079528,0.3241118064499073,0.35165998339797,0.3767899256383927,0.32278646094580765,0.3552811215756391,0.3017324271012478,0.35938737066258974,0.3739349361214958,0.4158424603241847
纯狐,,,,,,,,,,,,0.38570067028108057,0.44187039002337797,0.442430923696543,0.44839259317768926,0.46620252402640394,0.42127001947372433,0.40784839477139984,0.4139725354227525,0.411322350891057,0.4063869166304223
风见幽香,,,,0.178994757237292,0.31418051991520696,0.6959155243937166,0.7889523964637082,0.9268973690447974,0.7985821811275333,0.6438843963773269,0.5367770405274012,0.5402246769682671,0.5064827648718365,0.5136044412626327,0.46035364078491553,0.4441483918861981,0.46600760930580676,0.4290243352985456,0.43398400174724944,0.4326970811424172,0.39702551415224896
八意永琳,,,0.15235400051453563,0.2790061545475268,0.23326453196474395,0.20987293255651077,0.1767636924423724,0.17361460061625977,0.15483066678130106,0.1743039363220938,0.15108824566464724,0.1603924816024249,0.18489381710785222,0.16868628751378012,0.20176369032170705,0.21049738167372245,0.26084395378975306,0.2615838548563454,0.23302028447405063,0.3151803896538099,0.3876885883901287
伊吹萃香,,,,0.3030544791429223,0.27225817248689055,0.41567447337432945,0.36016938369376567,0.3538231808485423,0.28032405055376225,0.2753055183476377,0.24648737592289857,0.27388716153930287,0.271819139735402,0.3082794938576881,0.3067895871181774,0.4130655484440521,0.3908917025301981,0.3793894471947648,0.39500122853476755,0.40191027628339565,0.37848346032983315
