角色名,rvs_1,rvs_2,rvs_3,rvs_4,rvs_5,rvs_6,rvs_7,rvs_8,rvs_9,rvs_10,rvs_11,rvs_12,rvs_13,rvs_14,rvs_15,rvs_16,rvs_17,rvs_18,rvs_19,rvs_20,rvs_21
米斯蒂娅·萝蕾拉,,,0.370465655,1.197629359,1.068420172,1.104678637,1.140428651,1.111618867,1.180134904,1.124489425,1.139425799,1.086302205,1.220735028,1.063636723,1.091389174,0.911322004,0.791610359,0.800575827,0.885134729,1.043195242,1.209198726
饕餮尤魔,,,,,,,,,,,,,,,,,,1.059434392,2.043888722,1.540609201,1.200876643
魅魔,0.643382353,0.21016592,0.209930538,0.178025986,0.688246123,0.681592538,0.638059417,0.578260251,0.488576944,0.500454763,0.491607099,0.427761199,0.485782483,0.508127528,0.512113382,0.631648643,0.683825721,0.723432546,0.799039013,0.916231016,1.190057935
圣白莲,,,,,,,2.735892751,2.427722209,2.056618963,2.355906137,2.123558889,1.649785166,1.549877445,1.560327297,1.461831846,1.519929375,1.288419025,1.139434832,1.169368533,1.147075064,1.137212705
橙,1.976102941,1.570713721,0.932338564,0.635229086,1.206069396,1.162863366,1.062801244,0.937473335,0.895633212,0.827371798,0.98964644,0.983322657,0.986105394,0.986028821,0.953916115,1.024939307,0.90225022,1.017148446,1.147549756,1.057485588,1.134299975
上白泽慧音,,,3.074864934,2.492363802,2.399029343,1.840299851,1.722318643,1.649224935,1.666523374,1.409336707,1.391202146,1.215686765,1.173809101,1.106116838,1.132316268,1.070227323,1.109967636,1.035434261,1.007791641,1.058584845,1.118488017
大妖精,,,0.040133779,0.173979941,0.312004909,0.492076564,0.759865022,0.978734297,1.175757955,0.944816524,0.939107393,0.90516382,0.902167468,0.955802585,1.119723316,1.085323328,0.90867447,0.836576025,0.894569876,0.828840056,1.095602287
封兽鵺,,,,,,,1.12528184,1.404086276,1.500746426,1.653867143,1.782650041,1.69995469,1.762696437,1.602807412,1.53424132,1.403133966,1.404055524,1.26572124,1.144011576,1.034950812,1.07396487
玛艾露贝莉·赫恩,,,0.02469771,0.101151128,0.249079549,0.231907705,0.322500853,0.439914672,0.476540334,0.814225,1.131155774,1.030323579,1.163234244,1.280938849,1.414608276,1.354667844,1.015745303,0.953148094,1.039045565,1.220175679,1.044837578
天弓千亦,,,,,,,,,,,,,,,,,1.309119386,1.078291639,0.858598378,0.873909608,1.026945099
小恶魔,,0.07742955,0.200668896,0.59881468,0.596479973,0.684086169,0.650681759,0.682019436,0.793869145,0.64857535,0.684574371,0.822780182,0.897540968,0.954168735,0.904593719,0.84934893,0.814452137,1.046291463,0.960026209,0.88545181,0.952462452
娜兹玲,,,,,,,1.960880917,1.751163783,1.327309818,1.205123117,1.298394076,1.26955299,1.364817452,1.163301608,1.174292775,1.113131759,0.861563303,1.113720405,1.16995823,0.976140543,0.897120597
哆来咪·苏伊特,,,,,,,,,,,,0.739340343,0.757424116,2.142795026,1.641281412,1.267269918,1.177065358,1.086863115,0.973589233,0.880505152,0.871322138
道神驯子,,,,,,,,,,,,,,,,,,,,,0.863832263
神绮,,0.011061364,0.0895292,0.368190107,0.419502399,0.374875896,0.455666567,0.415643517,0.457391182,0.493443138,0.515498285,0.589359874,0.594174765,0.589820057,0.595016982,0.576826308,0.471825471,0.526288606,0.53249611,0.784869761,0.855094075
埴安神袿姬,,,,,,,,,,,,,,,,1.76146546,1.291274247,1.080005934,0.946463185,0.801358621,0.797255595
莉格露·奈特巴格,,,0.197581683,0.404604513,0.537487448,0.602627548,0.607134677,0.519402702,0.523045419,0.528501265,0.566956224,0.467896817,0.568398551,0.510578304,0.555139301,0.522798499,0.640283582,0.665146512,0.653383931,0.727158749,0.793094554
因幡天为（因幡帝）,,,0.722408027,0.627136996,0.975343077,0.774688104,0.67908203,0.751799005,0.655448129,0.737097121,0.824245921,0.787925566,0.888948897,0.845517671,0.79860304,0.793732068,0.839435331,0.829718845,0.833831117,0.771678672,0.778530908
赤蛮奇,,,,,,,,,,1.010550512,0.991484224,0.959030045,0.986766322,0.910871694,0.912989021,0.863650408,0.839435331,0.79143292,0.857418985,0.823343769,0.773953762
菅牧典,,,,,,,,,,,,,,,,,1.005752025,1.016005582,1.1752655,0.853573346,0.768960512
村纱水蜜,,,,,,,1.113921731,0.944147902,0.762683382,0.837889236,0.762680172,0.68917082,0.725038617,0.806305258,0.799652453,0.854910616,1.151368358,0.979433953,0.937617735,0.804656393,0.762302845
霍青娥,,,,,,,,,1.282446089,1.223528634,1.168830336,0.989131759,1.016508107,1.017071982,0.974904368,1.040035312,0.946506164,1.009719834,0.90282563,0.850825203,0.757309595
八坂神奈子,,,,,1.013360482,1.378978073,1.55381037,1.317923679,1.218980327,1.056126077,0.874784969,0.690755121,0.821534185,0.829179166,0.718847677,0.736526153,0.724512637,0.698289551,0.758939638,0.707372116,0.721524636
克劳恩皮丝,,,,,,,,,,,,2.288258363,1.876376148,1.559510372,1.497511876,1.369763849,1.148513136,1.136577674,0.889852303,0.861817777,0.717363594
莉莉霍瓦特（莉莉白）,,0.398209112,0.441471572,0.570492364,0.302828294,0.241051019,0.287158293,0.319772458,0.312951861,0.319905409,0.282099775,0.250319516,0.300061561,0.379053333,0.496372192,0.630854116,0.535354165,0.466288276,0.578492451,0.638118902,0.704048261
本居小铃,,,,,,,,,,1.01843859,0.957485228,0.912557224,1.024439249,1.108567614,1.005337335,1.035268153,0.803031248,0.721146819,0.784296596,0.720563205,0.689484615
绵月丰姬,,,,,0.045883075,0.115538247,0.116125552,0.166257407,0.175077964,0.244530436,0.213182892,0.208071497,0.239917063,0.2132175,0.29908261,0.266166409,0.389737832,0.32057319,0.307821671,0.273165456,0.677833698
依神女苑,,,,,,,,,,,,,,1.137976924,1.668566141,1.078967115,0.693818998,0.821718801,0.758939638,0.782121617,0.655364072
小野塚小町,,,,0.958912697,1.120857972,1.436331591,1.254660851,1.176544205,1.222263039,1.055249624,1.002510925,0.8608034,0.83739647,0.803037557,0.892000767,0.896225999,0.778048054,0.719432524,0.651614841,0.665050708,0.647041989
永江衣玖,,,,,,2.349000623,1.775332482,1.661360512,1.791813542,1.63370872,1.390283254,1.218327266,1.188349529,1.093046033,1.120772729,0.924034429,0.763771943,0.910290716,0.780758415,0.699677315,0.646625885
姬海棠果,,,,,,,,1.16865608,1.005604058,0.986886276,0.867433834,0.807465275,1.022456464,0.95498566,0.97175613,0.813595233,0.765199554,0.686289485,0.675202708,0.640867046,0.635391072
二岩猯藏,,,,,,,,,0.710159993,0.983380463,1.234071652,0.845488493,0.863172684,0.901885516,0.721995915,0.709512249,0.688108554,0.707432458,0.767785088,0.711219517,0.629565614
稗田阿求,,,,,0.541420283,0.539455557,0.542129613,0.509087461,0.707971519,0.837889236,0.721330042,0.734587441,0.844666684,0.801403706,0.795454802,0.84219819,0.654559693,0.548574443,0.655742718,1.654931968,0.623740155
