角色名,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
二岩猯藏,,,,,,,,,1298,1122,1343,1601,1306,1104,688,893,964,1238,1302,1294,1513
稗田阿求,,,,,413,649,859,839,1294,956,785,1391,1278,981,758,1060,917,960,1112,3011,1499
幻月,1,1,2,4,17,99,174,246,342,220,307,575,528,438,362,485,478,490,472,715,1481
吉吊八千慧,,,,,,,,,,,,,,,,1733,1364,1518,2150,1385,1478
森近霖之助,,,43,139,659,1225,1647,1558,1580,891,868,1248,1084,873,612,977,1003,1278,1173,1202,1436
今泉影狼,,,,,,,,,,1659,1383,2269,2170,1725,1331,1467,1175,1399,1365,1082,1394
星熊勇仪,,,,,,1189,1328,1256,1429,922,901,1524,1198,927,675,946,1125,1366,1194,1143,1360
宇佐见堇子,,,,,,,,,,,1364,1934,1549,1400,1175,1164,1389,1506,1213,1116,1346
庭渡久侘歌,,,,,,,,,,,,,,,,1353,1131,1588,1255,1089,1324
少名针妙丸,,,,,,,,,,1964,2164,2412,1549,1253,859,1107,1089,1099,975,962,1287
苏我屠自古,,,,,,,,,944,647,598,1095,1109,960,781,1119,1072,1286,1140,1061,1285
奥野田美宵,,,,,,,,,,,,,,,,683,726,739,966,1007,1229
冈崎梦美,1,4,16,12,99,339,643,816,1049,731,715,1048,814,625,538,701,621,735,767,802,1221
宫出口瑞灵,,,,,,,,,,,,,,,,,,219,249,507,1207
堀川雷鼓,,,,,,,,,,1060,887,1544,1226,1104,759,807,830,951,840,787,1199
梅蒂欣·梅兰可莉,,,,93,306,500,856,971,1049,723,623,872,780,671,463,761,696,1029,866,823,1132
绵月依姬,,,,,15,256,609,610,659,476,524,846,720,479,476,572,755,898,853,786,1128
高丽野阿吽,,,,,,,,,,,,,,1674,945,781,667,823,962,1075,1104
豫母都日狭美,,,,,,,,,,,,,,,,,,,1907,1131,1096
露娜切露德,,,,7,222,370,562,962,905,463,338,637,532,395,441,570,490,519,604,705,1046
宫古芳香,,,,,,,,,1509,636,561,957,791,659,479,703,773,1001,853,825,1039
若鹭姬,,,,,,,,,,702,560,908,771,655,518,703,662,798,692,701,1032
蕾蒂·霍瓦特洛克,2,26,116,66,452,790,1082,1063,938,564,532,773,643,541,413,531,604,691,689,844,983
妖精（女仆妖精、向日葵妖精等）,,,,6,19,18,65,78,121,59,54,97,87,66,53,96,73,57,86,85,971
姬虫百百世,,,,,,,,,,,,,,,,,1246,1040,805,779,970
日白残无,,,,,,,,,,,,,,,,,,,1403,1013,969
露娜萨·普莉兹姆利巴,,161,246,266,808,1090,1365,1246,1250,771,793,1281,988,873,590,777,903,1038,1060,874,969
先代巫女,,,,,,,,,,,,,,,,,,,,,945
秋穰子,,,,,97,712,1523,1615,1647,881,678,983,942,734,537,620,708,871,811,765,944
秋静叶,,,,,120,706,1480,1576,1684,899,738,1077,1041,900,584,623,722,934,873,749,937
梦月,,,2,3,8,24,55,70,117,94,160,308,314,247,184,256,251,299,267,477,912
寅丸星,,,,,,,2158,2399,2027,1220,1012,1530,1146,805,627,766,651,776,746,691,879
幽谷响子,,,,,,,,,1440,844,786,1353,1104,925,719,736,617,620,606,561,864
天火人血枪,,,,,,,,,,,,,,,,,,,1310,784,858
骊驹早鬼,,,,,,,,,,,,,,,,947,770,870,1198,754,849
黑谷山女,,,,,,386,629,996,1147,691,604,979,800,642,488,495,581,669,576,590,822
