名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
105,毛玉,40,5,0.125,45,0.0059,0.0008,38,0.95,2,0.05
105,萨丽爱尔,40,4,0.1,44,0.0059,0.0006,30,0.75,10,0.25
107,绵月丰姬,39,5,0.1282,44,0.0058,0.0008,30,0.7692,9,0.2308
107,云居一轮,39,2,0.0513,41,0.0058,0.0003,16,0.4103,23,0.5897
109,黑谷山女,35,1,0.0286,36,0.0052,0.0002,34,0.9714,1,0.0286
109,清兰,35,1,0.0286,36,0.0052,0.0002,25,0.7143,10,0.2857
111,九十九八桥,34,0,0.0,34,0.005,0.0,24,0.7059,10,0.2941
112,寅丸星,33,2,0.0606,35,0.0049,0.0003,19,0.5758,14,0.4242
113,无名的读书妖怪（朱鹭子）,32,3,0.0938,35,0.0047,0.0005,29,0.9063,3,0.0938
114,魂魄妖忌,31,1,0.0323,32,0.0046,0.0002,28,0.9032,3,0.0968
115,坂田合欢乃,30,0,0.0,30,0.0044,0.0,22,0.7333,8,0.2667
116,爱莲,26,3,0.1154,29,0.0038,0.0005,14,0.5385,12,0.4615
117,铃瑚,25,1,0.04,26,0.0037,0.0002,17,0.68,8,0.32
118,梅露兰·普莉兹姆利巴,23,2,0.087,25,0.0034,0.0003,17,0.7391,6,0.2609
118,胡桃,23,1,0.0435,24,0.0034,0.0002,19,0.8261,4,0.1739
120,大鲶鱼,22,1,0.0455,23,0.0032,0.0002,18,0.8182,4,0.1818
120,梦子,22,0,0.0,22,0.0032,0.0,17,0.7727,5,0.2273
122,梦月,21,1,0.0476,22,0.0031,0.0002,17,0.8095,4,0.1905
123,蕾拉·普莉兹姆利巴,20,1,0.05,21,0.003,0.0002,13,0.65,7,0.35
124,莉莉卡·普莉兹姆利巴,19,1,0.0526,20,0.0028,0.0002,16,0.8421,3,0.1579
125,小兔姬,18,2,0.1111,20,0.0027,0.0003,5,0.2778,13,0.7222
126,里香,17,2,0.1176,19,0.0025,0.0003,12,0.7059,5,0.2941
127,琪斯美,15,1,0.0667,16,0.0022,0.0002,13,0.8667,2,0.1333
127,明罗,15,0,0.0,15,0.0022,0.0,5,0.3333,10,0.6667
129,妖精（含持花妖精，僵尸妖精）,14,0,0.0,14,0.0021,0.0,14,1.0,0,0.0
130,北白河千百合,13,1,0.0769,14,0.0019,0.0002,9,0.6923,4,0.3077
131,假扮魔理沙的妖狐,12,0,0.0,12,0.0018,0.0,11,0.9167,1,0.0833
132,艾丽,11,2,0.1818,13,0.0016,0.0003,11,1.0,0,0.0
132,云山,11,0,0.0,11,0.0016,0.0,11,1.0,0,0.0
132,舞,11,0,0.0,11,0.0016,0.0,8,0.7273,3,0.2727
